blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd,subject,procedure,day
2022_05_09_abb06,70,spout03,nacl000,27,13.5,13.5,0.7071067811865476,abb06,multi_nacl,19
2022_05_09_abb06,70,spout04,nacl150,0,0,0,0,abb06,multi_nacl,19
2022_05_09_abb06,70,spout05,nacl050,3,1.5,1.5,0.7071067811865476,abb06,multi_nacl,19
2022_05_09_abb06,80,spout01,nacl025,36,18,18,0,abb06,multi_nacl,19
2022_05_09_abb06,80,spout02,nacl100,3,1.5,1.5,0.7071067811865476,abb06,multi_nacl,19
2022_05_09_abb06,80,spout03,nacl000,28,14,14,0,abb06,multi_nacl,19
2022_05_09_abb06,80,spout04,nacl150,1,0.5,0.5,0.7071067811865476,abb06,multi_nacl,19
2022_05_09_abb06,80,spout05,nacl050,5,2.5,2.5,2.1213203435596424,abb06,multi_nacl,19
2022_05_09_abb06,90,spout01,nacl025,33,16.5,16.5,2.1213203435596424,abb06,multi_nacl,19
2022_05_09_abb06,90,spout02,nacl100,1,0.5,0.5,0.7071067811865476,abb06,multi_nacl,19
2022_05_09_abb06,90,spout03,nacl000,21,10.5,10.5,2.1213203435596424,abb06,multi_nacl,19
2022_05_09_abb06,90,spout04,nacl150,1,0.5,0.5,0.7071067811865476,abb06,multi_nacl,19
2022_05_09_abb06,90,spout05,nacl050,20,10,10,14.142135623730951,abb06,multi_nacl,19
2022_05_10_abb01,0,spout01,nacl100,2,1,1,0,abb01,multi_nacl,20
2022_05_10_abb01,0,spout02,nacl150,2,1,1,0,abb01,multi_nacl,20
2022_05_10_abb01,0,spout03,nacl025,38,19,19,0,abb01,multi_nacl,20
2022_05_10_abb01,0,spout04,nacl050,12,6,6,5.656854249492381,abb01,multi_nacl,20
2022_05_10_abb01,0,spout05,nacl000,41,20.5,20.5,0.7071067811865476,abb01,multi_nacl,20
2022_05_10_abb01,10,spout01,nacl100,18,9,9,1.4142135623730951,abb01,multi_nacl,20
2022_05_10_abb01,10,spout02,nacl150,2,1,1,0,abb01,multi_nacl,20
2022_05_10_abb01,10,spout03,nacl025,36,18,18,1.4142135623730951,abb01,multi_nacl,20
2022_05_10_abb01,10,spout04,nacl050,12,6,6,1.4142135623730951,abb01,multi_nacl,20
2022_05_10_abb01,10,spout05,nacl000,41,20.5,20.5,2.1213203435596424,abb01,multi_nacl,20
2022_05_10_abb01,20,spout01,nacl100,11,5.5,5.5,6.363961030678928,abb01,multi_nacl,20
2022_05_10_abb01,20,spout02,nacl150,6,3,3,2.8284271247461903,abb01,multi_nacl,20
2022_05_10_abb01,20,spout03,nacl025,19,9.5,9.5,12.020815280171307,abb01,multi_nacl,20
2022_05_10_abb01,20,spout04,nacl050,31,15.5,15.5,2.1213203435596424,abb01,multi_nacl,20
2022_05_10_abb01,20,spout05,nacl000,40,20,20,1.4142135623730951,abb01,multi_nacl,20
2022_05_10_abb01,30,spout01,nacl100,8,4,4,0,abb01,multi_nacl,20
