blockname,trial_split,spout,solution,lick_count_total,lick_count_mean,lick_count_median,lick_count_sd,subject,procedure,day
2022_04_18_abb05,70,spout03,sucrose00,7,3.5,3.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,70,spout04,sucrose30,31,15.5,15.5,0.7071067811865476,abb05,multi_s,5
2022_04_18_abb05,70,spout05,sucrose10,10,5,5,0,abb05,multi_s,5
2022_04_18_abb05,80,spout01,sucrose05,12,6,6,2.8284271247461903,abb05,multi_s,5
2022_04_18_abb05,80,spout02,sucrose20,25,12.5,12.5,4.949747468305833,abb05,multi_s,5
2022_04_18_abb05,80,spout03,sucrose00,6,3,3,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,80,spout04,sucrose30,21,10.5,10.5,7.7781745930520225,abb05,multi_s,5
2022_04_18_abb05,80,spout05,sucrose10,7,3.5,3.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,90,spout01,sucrose05,3,1.5,1.5,2.1213203435596424,abb05,multi_s,5
2022_04_18_abb05,90,spout02,sucrose20,0,0,0,0,abb05,multi_s,5
2022_04_18_abb05,90,spout03,sucrose00,4,2,2,1.4142135623730951,abb05,multi_s,5
2022_04_18_abb05,90,spout04,sucrose30,11,5.5,5.5,7.7781745930520225,abb05,multi_s,5
2022_04_18_abb05,90,spout05,sucrose10,6,3,3,2.8284271247461903,abb05,multi_s,5
2022_04_19_abb03,0,spout01,sucrose30,37,18.5,18.5,0.7071067811865476,abb03,multi_s,6
2022_04_19_abb03,0,spout02,sucrose10,43,21.5,21.5,0.7071067811865476,abb03,multi_s,6
2022_04_19_abb03,0,spout03,sucrose20,37,18.5,18.5,3.5355339059327378,abb03,multi_s,6
2022_04_19_abb03,0,spout04,sucrose00,38,19,19,2.8284271247461903,abb03,multi_s,6
2022_04_19_abb03,0,spout05,sucrose05,36,18,18,2.8284271247461903,abb03,multi_s,6
2022_04_19_abb03,10,spout01,sucrose30,30,15,15,0,abb03,multi_s,6
2022_04_19_abb03,10,spout02,sucrose10,42,21,21,0,abb03,multi_s,6
2022_04_19_abb03,10,spout03,sucrose20,31,15.5,15.5,0.7071067811865476,abb03,multi_s,6
2022_04_19_abb03,10,spout04,sucrose00,33,16.5,16.5,7.7781745930520225,abb03,multi_s,6
2022_04_19_abb03,10,spout05,sucrose05,30,15,15,5.656854249492381,abb03,multi_s,6
2022_04_19_abb03,20,spout01,sucrose30,29,14.5,14.5,0.7071067811865476,abb03,multi_s,6
2022_04_19_abb03,20,spout02,sucrose10,34,17,17,5.656854249492381,abb03,multi_s,6
2022_04_19_abb03,20,spout03,sucrose20,29,14.5,14.5,0.7071067811865476,abb03,multi_s,6
2022_04_19_abb03,20,spout04,sucrose00,23,11.5,11.5,7.7781745930520225,abb03,multi_s,6
2022_04_19_abb03,20,spout05,sucrose05,32,16,16,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,30,spout01,sucrose30,22,11,11,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,30,spout02,sucrose10,36,18,18,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,30,spout03,sucrose20,20,10,10,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,30,spout04,sucrose00,24,12,12,4.242640687119285,abb03,multi_s,6
2022_04_19_abb03,30,spout05,sucrose05,18,9,9,2.8284271247461903,abb03,multi_s,6
2022_04_19_abb03,40,spout01,sucrose30,23,11.5,11.5,3.5355339059327378,abb03,multi_s,6
2022_04_19_abb03,40,spout02,sucrose10,27,13.5,13.5,0.7071067811865476,abb03,multi_s,6
2022_04_19_abb03,40,spout03,sucrose20,16,8,8,2.8284271247461903,abb03,multi_s,6
2022_04_19_abb03,40,spout04,sucrose00,6,3,3,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,40,spout05,sucrose05,11,5.5,5.5,2.1213203435596424,abb03,multi_s,6
2022_04_19_abb03,50,spout01,sucrose30,19,9.5,9.5,2.1213203435596424,abb03,multi_s,6
2022_04_19_abb03,50,spout02,sucrose10,27,13.5,13.5,6.363961030678928,abb03,multi_s,6
2022_04_19_abb03,50,spout03,sucrose20,12,6,6,0,abb03,multi_s,6
2022_04_19_abb03,50,spout04,sucrose00,6,3,3,2.8284271247461903,abb03,multi_s,6
2022_04_19_abb03,50,spout05,sucrose05,4,2,2,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,60,spout01,sucrose30,7,3.5,3.5,3.5355339059327378,abb03,multi_s,6
2022_04_19_abb03,60,spout02,sucrose10,12,6,6,8.48528137423857,abb03,multi_s,6
2022_04_19_abb03,60,spout03,sucrose20,7,3.5,3.5,2.1213203435596424,abb03,multi_s,6
2022_04_19_abb03,60,spout04,sucrose00,8,4,4,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,60,spout05,sucrose05,10,5,5,2.8284271247461903,abb03,multi_s,6
2022_04_19_abb03,70,spout01,sucrose30,0,0,0,0,abb03,multi_s,6
2022_04_19_abb03,70,spout02,sucrose10,24,12,12,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,70,spout03,sucrose20,20,10,10,1.4142135623730951,abb03,multi_s,6
2022_04_19_abb03,70,spout04,sucrose00,4,2,2,2.8284271247461903,abb03,multi_s,6
2022_04_19_abb03,70,spout05,sucrose05,0,0,0,0,abb03,multi_s,6
2022_04_19_abb03,80,spout01,sucrose30,10,5,5,7.0710678118654755,abb03,multi_s,6
2022_04_19_abb03,80,spout02,sucrose10,16,8,8,5.656854249492381,abb03,multi_s,6
2022_04_19_abb03,80,spout03,sucrose20,9,4.5,4.5,6.363961030678928,abb03,multi_s,6
2022_04_19_abb03,80,spout04,sucrose00,0,0,0,0,abb03,multi_s,6
2022_04_19_abb03,80,spout05,sucrose05,3,1.5,1.5,0.7071067811865476,abb03,multi_s,6
2022_04_19_abb03,90,spout01,sucrose30,0,0,0,0,abb03,multi_s,6
2022_04_19_abb03,90,spout02,sucrose10,14,7,7,9.899494936611665,abb03,multi_s,6
2022_04_19_abb03,90,spout03,sucrose20,8,4,4,5.656854249492381,abb03,multi_s,6
2022_04_19_abb03,90,spout04,sucrose00,3,1.5,1.5,2.1213203435596424,abb03,multi_s,6
2022_04_19_abb03,90,spout05,sucrose05,0,0,0,0,abb03,multi_s,6
